GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000179403	1	1370241	1378262	3	1	305495	0.70083	0.2417	VWA1
ENSG00000215915	1	1385069	1405538	5	2	305495	1.3901	0.082245	ATAD3C
ENSG00000160072	1	1407143	1433228	29	6	305495	0.22408	0.41135	ATAD3B
ENSG00000197785	1	1447531	1470067	68	7	305495	-0.25999	0.60256	ATAD3A
ENSG00000205090	1	1470554	1475833	6	2	305495	1.2024	0.1146	TMEM240
ENSG00000160075	1	1477053	1510249	98	7	305495	1.5273	0.063346	SSU72
ENSG00000215014	1	1510355	1511373	4	1	305495	0.85014	0.19762	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	305495	-0.93655	0.82551	C1orf233
ENSG00000197530	1	1550795	1565990	19	4	305495	-1.3229	0.90706	MIB2
ENSG00000248333	1	1570603	1590473	19	3	305495	-0.75836	0.77588	CDK11B
ENSG00000189339	1	1592939	1624167	20	5	305495	0.9196	0.17889	SLC35E2B
ENSG00000008128	1	1634169	1655766	30	2	305495	1.19	0.11702	CDK11A
ENSG00000215790	1	1656277	1677431	7	2	305495	-0.70363	0.75917	SLC35E2
ENSG00000008130	1	1682671	1711896	69	8	305495	-0.12466	0.54961	NADK
ENSG00000078369	1	1716729	1822495	152	14	305495	-0.48632	0.68663	GNB1
ENSG00000169885	1	1846266	1848735	11	3	305495	1.0643	0.14359	CALML6
ENSG00000178821	1	1849029	1850712	6	2	305495	1.0213	0.15356	TMEM52
ENSG00000142609	1	1853396	1935276	222	20	305495	2.1076	0.017534	C1orf222
ENSG00000187730	1	1950780	1962192	12	1	305495	-1.4957	0.93264	GABRD
ENSG00000067606	1	1981909	2116834	434	37	305495	-1.5931	0.94443	PRKCZ
ENSG00000162585	1	2115903	2144159	54	11	305495	-1.9833	0.97633	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	305495	-1.5938	0.94451	AL590822.2
ENSG00000203301	1	2143360	2145620	1	1	305495	-1.5228	0.93609	AL590822.1
ENSG00000157933	1	2160134	2241558	206	31	305495	-0.84733	0.80159	SKI
ENSG00000116151	1	2252692	2323146	288	42	305495	1.3352	0.090901	MORN1
ENSG00000269753	1	2258581	2259042	2	1	305495	-0.86438	0.80631	AL589739.1
ENSG00000157916	1	2323267	2336883	34	9	305495	1.7742	0.038014	RER1
ENSG00000157911	1	2336236	2345236	22	7	305495	1.0077	0.15681	PEX10
ENSG00000149527	1	2357419	2436969	213	34	305495	-1.4441	0.92564	PLCH2
ENSG00000157881	1	2439972	2458039	39	5	305495	-1.1131	0.86716	PANK4
ENSG00000197921	1	2460184	2461684	3	2	305495	-1.4058	0.92011	HES5
ENSG00000157873	1	2487078	2496821	22	4	305495	0.55697	0.28878	TNFRSF14
ENSG00000157870	1	2517930	2522908	11	4	305495	0.45287	0.32532	FAM213B
ENSG00000142606	1	2522078	2564481	180	9	305495	0.92542	0.17737	MMEL1
ENSG00000215912	1	2567415	2718286	286	18	305495	0.54379	0.29329	TTC34
ENSG00000169717	1	2938046	2939465	6	2	305495	-2.1348	0.98361	ACTRT2
ENSG00000142611	1	2985732	3355185	1203	160	305495	-1.1218	0.86904	PRDM16
ENSG00000130762	1	3370990	3397677	87	8	305495	-1.4544	0.92708	ARHGEF16
ENSG00000162591	1	3406484	3528059	413	65	305495	0.14251	0.44334	MEGF6
ENSG00000158109	1	3541566	3546691	17	5	305495	2.7797	0.0027209	TPRG1L
ENSG00000116213	1	3547331	3569325	52	12	305495	2.6963	0.0035053	WRAP73
ENSG00000078900	1	3569084	3652765	248	41	305495	1.5031	0.066409	TP73
ENSG00000162592	1	3668962	3688209	58	10	305495	1.1371	0.12776	CCDC27
ENSG00000235169	1	3689352	3692546	11	5	305495	-0.28677	0.61286	SMIM1
ENSG00000130764	1	3696784	3713068	79	13	305495	-1.2546	0.89519	LRRC47
ENSG00000116198	1	3728645	3773778	309	21	305495	-2.0784	0.98116	CEP104
ENSG00000169598	1	3773845	3801993	139	16	305495	-2.0758	0.98104	DFFB
ENSG00000198912	1	3805689	3816857	48	7	305495	-1.5348	0.93758	C1orf174
ENSG00000196581	1	4714792	4852594	662	88	305495	0.032115	0.48719	AJAP1
ENSG00000131697	1	5922871	6052533	422	26	305495	0.64565	0.25925	NPHP4
ENSG00000069424	1	6051526	6161253	278	51	305495	0.81899	0.2064	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	305495	1.3595	0.08699	AL035406.1
ENSG00000116254	1	6161853	6240183	286	34	305495	1.2845	0.09949	CHD5
ENSG00000116251	1	6241329	6269449	54	9	305495	0.40087	0.34426	RPL22
ENSG00000158286	1	6265535	6281359	36	4	305495	-0.30124	0.61839	RNF207
ENSG00000116237	1	6281253	6296032	31	5	305495	0.08947	0.46435	ICMT
ENSG00000173673	1	6304252	6305638	3	2	305495	-0.68661	0.75383	HES3
ENSG00000158292	1	6307406	6321035	36	3	305495	0.013425	0.49464	GPR153
ENSG00000097021	1	6324329	6454451	462	33	305495	0.78429	0.21644	ACOT7
ENSG00000069812	1	6472478	6484730	40	6	305495	1.5182	0.064486	HES2
ENSG00000187017	1	6484848	6521430	115	11	305495	1.3262	0.092391	ESPN
ENSG00000215788	1	6521211	6526255	11	3	305495	0.47244	0.31831	TNFRSF25
ENSG00000171680	1	6526152	6580121	137	20	305495	0.067787	0.47298	PLEKHG5
ENSG00000162408	1	6581407	6614595	121	2	305495	-0.02155	0.5086	NOL9
ENSG00000173662	1	6615241	6639817	44	8	305495	-1.531	0.93712	TAS1R1
ENSG00000204859	1	6640061	6649340	13	5	305495	1.5378	0.062045	ZBTB48
ENSG00000162413	1	6650784	6674667	49	10	305495	1.918	0.027553	KLHL21
ENSG00000116273	1	6673745	6684093	21	4	305495	2.2321	0.012804	PHF13
ENSG00000041988	1	6684926	6695646	34	6	305495	2.6002	0.0046588	THAP3
ENSG00000007923	1	6694228	6761984	159	17	305495	1.9961	0.022959	DNAJC11
ENSG00000171735	1	6845384	7829766	2652	230	305495	3.3643	0.00038374	CAMTA1
ENSG00000049245	1	7831329	7841492	38	9	305495	-0.091972	0.53664	VAMP3
ENSG00000049246	1	7844380	7905237	249	27	305495	-0.038961	0.51554	PER3
ENSG00000049247	1	7903143	7913572	38	12	305495	-0.13668	0.55436	UTS2
ENSG00000049249	1	7979907	8000926	45	6	305495	-0.42116	0.66318	TNFRSF9
ENSG00000116288	1	8014351	8045565	64	8	305495	0.50388	0.30717	PARK7
ENSG00000116285	1	8064464	8086368	37	6	305495	0.021503	0.49142	ERRFI1
ENSG00000162426	1	8377886	8404227	85	13	305495	-0.054261	0.52164	SLC45A1
ENSG00000142599	1	8412457	8877702	770	32	305495	3.2863	0.00050761	RERE
ENSG00000074800	1	8921061	8939308	31	4	305495	-0.98349	0.83732	ENO1
ENSG00000131686	1	9005926	9035151	128	25	305495	0.050713	0.47978	CA6
ENSG00000197241	1	9063359	9086404	57	14	305495	0.46434	0.3212	SLC2A7
ENSG00000142583	1	9095166	9148537	183	22	305495	-0.055962	0.52231	SLC2A5
ENSG00000180758	1	9160364	9189229	78	10	305495	0.20019	0.42067	GPR157
ENSG00000049239	1	9294834	9331396	64	16	305495	0.75025	0.22655	H6PD
ENSG00000171621	1	9352939	9429591	339	58	305495	0.63473	0.2628	SPSB1
ENSG00000171612	1	9599541	9645237	57	6	305495	0.052018	0.47926	SLC25A33
ENSG00000188807	1	9648932	9674935	38	6	305495	-1.872	0.9694	TMEM201
ENSG00000171608	1	9711790	9789172	135	26	305495	-0.87113	0.80816	PIK3CD
ENSG00000179840	1	9712668	9714644	5	1	305495	-0.4371	0.66898	C1orf200
ENSG00000171603	1	9789084	9884584	146	14	305495	0.81034	0.20887	CLSTN1
ENSG00000178585	1	9908334	9970394	98	16	305495	0.026935	0.48926	CTNNBIP1
ENSG00000162441	1	9982173	10003465	57	9	305495	-0.3653	0.64256	LZIC
ENSG00000173614	1	10003486	10045559	85	11	305495	-0.20927	0.58288	NMNAT1
ENSG00000162444	1	10057264	10076078	41	5	305495	0.27068	0.39332	RBP7
ENSG00000130939	1	10092890	10241297	344	21	305495	0.14982	0.44045	UBE4B
ENSG00000054523	1	10270863	10441661	613	18	305495	-0.43198	0.66712	KIF1B
ENSG00000142657	1	10458649	10480201	49	8	305495	-0.038997	0.51555	PGD
ENSG00000251503	1	10490159	10512210	63	7	305495	0.026711	0.48935	APITD1-CORT
ENSG00000175279	1	10490159	10512210	63	7	305495	0.026711	0.48935	APITD1
ENSG00000241563	1	10509776	10511959	3	1	305495	1.6413	0.050367	CORT
ENSG00000160049	1	10516579	10532583	17	3	305495	-0.5757	0.71759	DFFA
ENSG00000142655	1	10532345	10690815	421	34	305495	0.61813	0.26825	PEX14
ENSG00000130940	1	10696661	10856707	398	70	305495	0.30768	0.37916	CASZ1
ENSG00000175262	1	11006528	11042094	113	13	305495	0.20968	0.41696	C1orf127
ENSG00000120948	1	11072414	11085796	37	4	305495	-0.38949	0.65154	TARDBP
ENSG00000009724	1	11086580	11107290	60	7	305495	-0.4065	0.65781	MASP2
ENSG00000116649	1	11114641	11120081	9	3	305495	-0.15376	0.5611	SRM
ENSG00000171824	1	11126675	11159938	100	5	305495	-0.66281	0.74627	EXOSC10
ENSG00000198793	1	11166592	11322564	355	12	305495	-0.40304	0.65654	MTOR
ENSG00000171819	1	11249398	11256038	15	2	305495	-2.1022	0.98223	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	5	305495	0.88863	0.1871	UBIAD1
ENSG00000204624	1	11539223	11597641	148	15	305495	1.9792	0.023899	PTCHD2
ENSG00000116661	1	11708424	11715842	7	3	305495	-0.55038	0.70897	FBXO2
ENSG00000132879	1	11714432	11723384	23	6	305495	-0.1857	0.57366	FBXO44
ENSG00000116663	1	11724181	11734411	41	9	305495	-1.4634	0.92833	FBXO6
ENSG00000116670	1	11734537	11751707	48	8	305495	-0.38491	0.64985	MAD2L2
ENSG00000162490	1	11751786	11785914	57	12	305495	-0.57174	0.71625	DRAXIN
ENSG00000177674	1	11796141	11814859	48	6	305495	1.5998	0.05482	AGTRAP
ENSG00000215910	1	11821844	11849642	153	10	305495	0.039083	0.48441	C1orf167
ENSG00000177000	1	11845780	11866977	93	11	305495	-0.82576	0.79553	MTHFR
ENSG00000011021	1	11866207	11903201	213	14	305495	-1.2136	0.88754	CLCN6
ENSG00000175206	1	11905766	11908402	19	4	305495	0.69909	0.24225	NPPA
ENSG00000120937	1	11917521	11918988	1	1	305495	0.71926	0.23599	NPPB
ENSG00000116685	1	11979648	11986485	21	6	305495	-0.036714	0.51464	KIAA2013
ENSG00000083444	1	11994262	12035595	113	11	305495	1.2301	0.10933	PLOD1
ENSG00000116688	1	12040238	12073571	75	7	305495	0.53331	0.29691	MFN2
ENSG00000116691	1	12079523	12092102	19	4	305495	2.1696	0.015018	MIIP
ENSG00000120949	1	12123434	12204264	155	25	305495	-1.1149	0.86756	TNFRSF8
ENSG00000028137	1	12227060	12269285	117	11	305495	-0.64202	0.73957	TNFRSF1B
ENSG00000048707	1	12290124	12572099	555	21	305495	-0.32554	0.62762	VPS13D
ENSG00000162496	1	12627939	12677737	163	28	305495	-0.30163	0.61853	DHRS3
ENSG00000204518	1	12704566	12727097	48	4	305495	0.41027	0.3408	AADACL4
ENSG00000188984	1	12776118	12788726	45	6	305495	0.17826	0.42926	AADACL3
ENSG00000157330	1	12806163	12823847	53	8	305495	0.59291	0.27662	C1orf158
ENSG00000116726	1	12834984	12838049	4	2	305495	-0.81734	0.79313	PRAMEF12
ENSG00000179172	1	12907261	12908578	4	1	305495	-0.92921	0.82361	HNRNPCL1
ENSG00000120952	1	12916941	12921764	9	1	305495	1.151	0.12487	PRAMEF2
ENSG00000204488	1	13495254	13498260	1	1	305495	0.54936	0.29138	PRAMEF16
ENSG00000162494	1	13801445	13840543	129	28	305495	-0.49848	0.69093	LRRC38
ENSG00000162493	1	13909960	13944452	92	20	305495	-0.29615	0.61644	PDPN
ENSG00000116731	1	14026693	14151574	398	35	305495	1.0441	0.14822	PRDM2
ENSG00000189337	1	14925200	15444539	1801	219	305495	-0.244	0.59638	KAZN
ENSG00000171729	1	15479028	15546976	359	32	305495	-1.4789	0.93042	TMEM51
ENSG00000204464	1	15490840	15497813	24	5	305495	-0.39572	0.65384	C1orf195
ENSG00000142621	1	15573768	15726779	476	50	305495	0.95689	0.16931	FHAD1
ENSG00000142634	1	15736391	15756839	51	15	305495	0.5309	0.29775	EFHD2
ENSG00000162438	1	15764935	15775737	20	6	305495	-1.7177	0.95708	CTRC
ENSG00000142615	1	15783223	15798586	64	9	305495	-0.74746	0.77261	CELA2A
ENSG00000215704	1	15792404	15817895	92	13	305495	0.40483	0.3428	CELA2B
ENSG00000132906	1	15817327	15853029	151	9	305495	0.4108	0.34061	CASP9
ENSG00000116138	1	15853308	15918874	232	13	305495	0.36638	0.35704	DNAJC16
ENSG00000116771	1	15898848	15911605	63	6	305495	0.0059452	0.49763	AGMAT
ENSG00000197312	1	15943995	15995539	124	6	305495	0.59476	0.276	DDI2
ENSG00000215695	1	15986364	15988217	3	2	305495	-0.045497	0.51814	RSC1A1
ENSG00000116786	1	16010827	16061264	161	12	305495	0.98039	0.16345	PLEKHM2
ENSG00000162461	1	16062900	16067891	5	1	305495	-0.11272	0.54487	SLC25A34
ENSG00000162460	1	16068917	16074477	17	4	305495	0.88874	0.18707	TMEM82
ENSG00000162458	1	16083102	16113089	71	10	305495	-0.59898	0.72541	FBLIM1
ENSG00000065526	1	16174359	16266955	165	18	305495	-0.49018	0.688	SPEN
ENSG00000116809	1	16268364	16302627	61	12	305495	-1.0297	0.84843	ZBTB17
ENSG00000183888	1	16330731	16335302	17	5	305495	-0.74387	0.77152	C1orf64
ENSG00000173641	1	16340523	16346089	48	6	305495	-1.4353	0.92439	HSPB7
ENSG00000186510	1	16345370	16360545	90	11	305495	-1.4222	0.92251	CLCNKA
ENSG00000184908	1	16370272	16383803	126	12	305495	0.21701	0.4141	CLCNKB
ENSG00000185519	1	16384264	16400127	72	9	305495	-0.87136	0.80822	FAM131C
ENSG00000142627	1	16450832	16482582	46	12	305495	-0.12182	0.54848	EPHA2
ENSG00000142632	1	16524349	16539104	63	5	305495	-0.52368	0.69975	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	305495	-0.11697	0.54656	C1orf134
ENSG00000132881	1	16558195	16563657	13	5	305495	-0.93111	0.8241	RSG1
ENSG00000037637	1	16573334	16678949	247	13	305495	-0.65928	0.74514	FBXO42
ENSG00000055070	1	16679070	16724640	125	11	305495	-0.027494	0.51097	SZRD1
ENSG00000187144	1	16713612	16763919	129	19	305495	-0.97783	0.83592	SPATA21
ENSG00000157191	1	16767167	16786573	41	9	305495	-2.1835	0.9855	NECAP2
ENSG00000058453	1	17066768	17299474	60	9	305495	-0.83492	0.79812	CROCC
ENSG00000117122	1	17300997	17307330	18	4	305495	-0.84441	0.80078	MFAP2
ENSG00000159363	1	17312453	17338423	59	11	305495	-0.47278	0.68181	ATP13A2
ENSG00000117118	1	17345217	17380665	123	11	305495	0.5726	0.28346	SDHB
ENSG00000117115	1	17393256	17445948	260	16	305495	0.38121	0.35152	PADI2
ENSG00000142623	1	17531621	17572500	129	30	305495	-0.90565	0.81744	PADI1
ENSG00000142619	1	17575593	17610728	164	23	305495	-0.56441	0.71376	PADI3
ENSG00000159339	1	17634690	17690499	307	25	305495	0.25761	0.39835	PADI4
ENSG00000269468	1	17655507	17676070	154	12	305495	0.38203	0.35122	AC004824.2
ENSG00000179051	1	17733256	17766220	78	11	305495	1.5017	0.066585	RCC2
ENSG00000074964	1	17866330	18024369	345	37	305495	-1.5268	0.93659	ARHGEF10L
ENSG00000117148	1	18081808	18153558	169	19	305495	-3.0305	0.99878	ACTL8
ENSG00000117154	1	18434240	18704977	949	130	305495	1.4386	0.075128	IGSF21
ENSG00000179023	1	18807424	18812478	24	5	305495	-0.26293	0.6037	KLHDC7A
ENSG00000009709	1	18957500	19075360	323	58	305495	0.42283	0.33621	PAX7
ENSG00000179002	1	19166093	19186176	96	16	305495	-1.7101	0.95638	TAS1R2
ENSG00000255275	1	19175767	19247615	288	37	305495	0.85784	0.19549	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	118	15	305495	1.2482	0.10597	ALDH4A1
ENSG00000169991	1	19230775	19283180	155	28	305495	-0.078819	0.53141	IFFO2
ENSG00000127481	1	19401000	19536770	281	24	305495	0.16929	0.43279	UBR4
ENSG00000127463	1	19542158	19578046	111	13	305495	-0.85169	0.80281	EMC1
ENSG00000053372	1	19578033	19586622	56	8	305495	1.1451	0.12608	MRTO4
ENSG00000162482	1	19609052	19615744	30	5	305495	1.3362	0.090745	AKR7A3
ENSG00000053371	1	19630459	19638640	19	7	305495	0.66112	0.25427	AKR7A2
ENSG00000040487	1	19638820	19655794	89	11	305495	-0.80393	0.78928	PQLC2
ENSG00000077549	1	19665267	19812066	540	26	305495	0.79147	0.21433	CAPZB
ENSG00000270136	1	19923473	19984549	178	29	305495	-0.32593	0.62776	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	86	14	305495	-0.39584	0.65389	MINOS1
ENSG00000158747	1	19967048	19984945	48	14	305495	0.24366	0.40375	NBL1
ENSG00000158748	1	19991780	20006055	40	7	305495	0.51577	0.30301	HTR6
ENSG00000162542	1	20008706	20126438	367	47	305495	-1.1989	0.88471	TMCO4
ENSG00000178828	1	20140523	20141771	5	3	305495	-1.2969	0.90267	RNF186
ENSG00000169914	1	20209006	20239438	93	15	305495	-0.63965	0.7388	OTUD3
ENSG00000188784	1	20246502	20250110	19	6	305495	-0.80293	0.78899	PLA2G2E
ENSG00000188257	1	20301925	20306932	11	4	305495	-0.52767	0.70114	PLA2G2A
ENSG00000127472	1	20354672	20417683	223	24	305495	-0.052249	0.52083	PLA2G5
ENSG00000117215	1	20438432	20446050	17	8	305495	-0.71313	0.76212	PLA2G2D
ENSG00000158786	1	20465819	20476879	10	5	305495	1.8259	0.033935	PLA2G2F
ENSG00000187980	1	20487746	20503917	54	11	305495	-0.12598	0.55013	PLA2G2C
ENSG00000162543	1	20512578	20522541	6	3	305495	-0.088382	0.53521	UBXN10
ENSG00000158816	1	20617412	20681387	252	29	305495	1.9364	0.026411	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	305495	1.1513	0.12481	CAMK2N1
ENSG00000090432	1	20825943	20834654	27	8	305495	1.8351	0.033242	MUL1
ENSG00000183114	1	20878932	20881512	3	1	305495	-0.44962	0.67351	FAM43B
ENSG00000158825	1	20915441	20945401	133	18	305495	-1.241	0.8927	CDA
ENSG00000158828	1	20959948	20978004	83	9	305495	-1.0855	0.86114	PINK1
ENSG00000244038	1	20978270	20988000	33	6	305495	-1.0937	0.86295	DDOST
ENSG00000117245	1	20990507	21044510	185	40	305495	-0.1172	0.54665	KIF17
ENSG00000189410	1	21046225	21059330	37	9	305495	-0.89035	0.81336	SH2D5
ENSG00000127483	1	21069154	21113816	106	17	305495	-0.14462	0.5575	HP1BP3
ENSG00000075151	1	21132963	21503377	823	27	305495	-0.67278	0.74946	EIF4G3
ENSG00000117298	1	21543740	21671997	345	43	305495	-1.2585	0.8959	ECE1
ENSG00000142794	1	21766621	21811498	168	12	305495	0.54151	0.29408	NBPF3
ENSG00000162551	1	21835858	21904905	326	36	305495	-1.3267	0.90769	ALPL
ENSG00000076864	1	21922708	21995801	262	47	305495	-0.088869	0.53541	RAP1GAP
ENSG00000090686	1	22004791	22110099	364	33	305495	1.3403	0.09007	USP48
ENSG00000187942	1	22138758	22151714	36	14	305495	0.8077	0.20963	LDLRAD2
ENSG00000142798	1	22148738	22263790	365	41	305495	-0.048778	0.51945	HSPG2
ENSG00000219073	1	22303514	22325135	175	17	305495	0.93952	0.17373	CELA3B
ENSG00000142789	1	22328149	22339032	18	4	305495	0.077326	0.46918	CELA3A
ENSG00000070831	1	22379120	22419437	117	16	305495	1.2811	0.10007	CDC42
ENSG00000162552	1	22443798	22470462	96	15	305495	-0.56154	0.71279	WNT4
ENSG00000184677	1	22778344	22857650	148	16	305495	0.42892	0.33399	ZBTB40
ENSG00000070886	1	22890057	22930087	174	24	305495	-0.85182	0.80284	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	305495	0.58	0.28096	C1QA
ENSG00000159189	1	22970123	22974603	24	4	305495	-0.61333	0.73017	C1QC
ENSG00000173369	1	22979255	22988031	26	5	305495	-0.95538	0.83031	C1QB
ENSG00000133216	1	23037332	23241818	352	53	305495	0.26275	0.39637	EPHB2
ENSG00000215906	1	23279536	23291831	33	10	305495	-0.48532	0.68628	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	305495	-2.0556	0.98009	C1orf234
ENSG00000004487	1	23345941	23410182	83	9	305495	-2.2992	0.98925	KDM1A
ENSG00000169641	1	23410516	23504301	183	19	305495	-0.86626	0.80683	LUZP1
ENSG00000179546	1	23516993	23521222	12	3	305495	-0.63447	0.73711	HTR1D
ENSG00000125944	1	23630264	23670829	41	7	305495	0.20812	0.41757	HNRNPR
ENSG00000125945	1	23685941	23695935	29	5	305495	0.10021	0.46009	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	305495	-0.6812	0.75213	C1orf213
ENSG00000204219	1	23707554	23751233	117	15	305495	-2.2746	0.98853	TCEA3
ENSG00000088280	1	23755056	23811061	134	14	305495	-1.3998	0.91921	ASAP3
ENSG00000007968	1	23832922	23857712	53	7	305495	-0.25577	0.60094	E2F2
ENSG00000117318	1	23884409	23886285	5	3	305495	-0.43369	0.66774	ID3
ENSG00000197880	1	23907985	23967058	108	21	305495	-0.18785	0.5745	MDS2
ENSG00000142676	1	24018269	24022915	7	3	305495	1.1503	0.12501	RPL11
ENSG00000011007	1	24069645	24088549	17	7	305495	-0.95128	0.82927	TCEB3
ENSG00000057757	1	24104895	24114722	9	3	305495	-0.4134	0.66034	PITHD1
ENSG00000011009	1	24117460	24122029	4	1	305495	0.35209	0.36238	LYPLA2
ENSG00000117305	1	24128375	24165110	50	4	305495	-0.76641	0.77828	HMGCL
ENSG00000179163	1	24171567	24194784	53	5	305495	0.37188	0.35499	FUCA1
ENSG00000188822	1	24197016	24285549	213	11	305495	0.40936	0.34114	CNR2
ENSG00000189266	1	24285599	24289952	4	1	305495	-0.30013	0.61796	PNRC2
ENSG00000188529	1	24291294	24307417	4	1	305495	-0.75491	0.77485	SRSF10
ENSG00000142661	1	24382525	24438665	174	19	305495	0.25059	0.40106	MYOM3
ENSG00000142677	1	24446261	24469611	62	11	305495	0.28286	0.38864	IL22RA1
ENSG00000185436	1	24480647	24514449	121	15	305495	-0.92007	0.82123	IFNLR1
ENSG00000158055	1	24645812	24690972	97	20	305495	0.43782	0.33076	GRHL3
ENSG00000001460	1	24683489	24743424	186	19	305495	0.2788	0.3902	STPG1
ENSG00000001461	1	24742284	24799466	166	15	305495	0.24142	0.40462	NIPAL3
ENSG00000117602	1	24829387	24867530	134	15	305495	0.10716	0.45733	RCAN3
ENSG00000184454	1	24882602	24935819	257	29	305495	-2.0552	0.98007	NCMAP
ENSG00000133226	1	24958207	24999758	46	8	305495	-1.1889	0.88275	SRRM1
ENSG00000169504	1	25071848	25170815	113	11	305495	0.10038	0.46002	CLIC4
ENSG00000020633	1	25226002	25291612	112	21	305495	1.3967	0.081247	RUNX3
ENSG00000117614	1	25549170	25558993	7	4	305495	-0.23274	0.59202	SYF2
ENSG00000117616	1	25568728	25664704	33	13	305495	0.6321	0.26366	C1orf63
ENSG00000187010	1	25598884	25656936	7	4	305495	-0.8655	0.80662	RHD
ENSG00000183726	1	25664408	25688852	23	5	305495	1.5894	0.055984	TMEM50A
ENSG00000188672	1	25688740	25756683	88	4	305495	1.3799	0.083812	RHCE
ENSG00000204178	1	25757388	25826700	103	3	305495	1.3675	0.085735	TMEM57
ENSG00000157978	1	25870071	25895377	73	9	305495	-0.30096	0.61828	LDLRAP1
ENSG00000117643	1	25943959	26112698	272	27	305495	-0.77678	0.78136	MAN1C1
ENSG00000162430	1	26126667	26144713	43	4	305495	0.91399	0.18036	SEPN1
ENSG00000255054	1	26137961	26150235	35	4	305495	0.40258	0.34363	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	36	3	305495	0.094992	0.46216	MTFR1L
ENSG00000223474	1	26145212	26147288	7	3	305495	0.044069	0.48242	AL020996.1
ENSG00000127423	1	26158414	26185903	71	2	305495	0.29846	0.38268	AUNIP
ENSG00000182749	1	26187701	26197744	9	3	305495	-0.28432	0.61192	PAQR7
ENSG00000117632	1	26210672	26233482	33	6	305495	-0.2503	0.59882	STMN1
ENSG00000158006	1	26286258	26324648	92	6	305495	0.79879	0.21221	PAFAH2
ENSG00000158008	1	26346375	26362955	24	5	305495	0.43934	0.33021	EXTL1
ENSG00000158014	1	26363743	26372624	20	3	305495	0.14925	0.44068	SLC30A2
ENSG00000158022	1	26377795	26394927	48	7	305495	-0.80759	0.79034	TRIM63
