ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000115310	RTN4	2	55199325	55339757	-1	protein_coding	57142	RTN4	0.0108353564169536	0.05008391	88	16	1.90813e-08	rs72795440;rs1822616;rs10166518	3
ENSG00000007001	UPP2	2	158733214	158992666	1	protein_coding	151531	UPP2	0.00202492321799246	0.110783073	15	17.73	8.98756e-07	rs758279	6
ENSG00000071909	MYO3B	2	171034655	171511681	1	protein_coding	140469	MYO3B	4.47146671165632e-20	0.017148496	1	4.086	1.34481e-06	rs116526743	7
ENSG00000175110	MRPS22	3	138724648	139076065	1	protein_coding	56945	MRPS22	6.39409151183266e-05	NA	9	6.661	1.51202e-06	3:138966102_CT_C	8
ENSG00000064042	LIMCH1	4	41361624	41702061	1	protein_coding	22998	LIMCH1	0.999638378558411	0.797274666	48	14.25	1.44544e-06	rs7679031	9
ENSG00000132842	AP3B1	5	77296349	77590579	-1	protein_coding	8546	AP3B1	0.995386030171841	-0.534653626	243	21.7	1.00702e-06	rs1552647;rs12197946	10
ENSG00000079689	SCGN	6	25652464	25702011	1	protein_coding	10590	SCGN	0.0359460022848758	0.102935794	3	0.732	2.82184e-05	rs146863150	12
ENSG00000146039	SLC17A4	6	25754927	25781419	1	protein_coding	10050	SLC17A4	6.33422534991957e-06	0.944835588	2	5.129	4.84901e-05	rs146863150	12
ENSG00000124568	SLC17A1	6	25783125	25832287	-1	protein_coding	6568	SLC17A1	2.59261497697838e-10	-0.181263012	18	9.209	3.85443e-05	rs146863150	12
ENSG00000124564	SLC17A3	6	25833294	25882514	-1	protein_coding	10786	SLC17A3	9.88205561287661e-14	-0.246502705	18	12.01	4.57302e-05	rs146863150	12
ENSG00000112337	SLC17A2	6	25912982	25930946	-1	protein_coding	10246	SLC17A2	0.00466985446742192	-0.129201002	4	3.013	5.37592e-05	rs146863150	12
ENSG00000112343	TRIM38	6	25963030	25987384	1	protein_coding	10475	TRIM38	4.75130205096512e-06	-0.220583262	6	8.455	0.000119531	rs146863150	12
ENSG00000124610	HIST1H1A	6	26017260	26018040	-1	protein_coding	3024	HIST1H1A	0.00353079926543669	-0.372206788	2	9.502	6.48439e-05	rs146863150	12
ENSG00000198366	HIST1H3A	6	26020718	26021186	1	protein_coding	8350	HIST1H3A	3.98008178767139e-05	-0.225706842	2	9.502	6.48439e-05	rs146863150	12
ENSG00000196176	HIST1H4A	6	26021907	26022278	1	protein_coding	8359	HIST1H4A	0.00228540295756206	0.434170117	2	9.502	6.48439e-05	rs146863150	12
ENSG00000124529	HIST1H4B	6	26027124	26027480	-1	protein_coding	8366	HIST1H4B	0.00854182671998013	0.166119276	1	9.502	6.48439e-05	rs146863150	12
ENSG00000124693	HIST1H3B	6	26031817	26032288	-1	protein_coding	8358	HIST1H3B	0.307282993148648	0.251696243	2	9.502	6.48439e-05	rs146863150	12
ENSG00000137259	HIST1H2AB	6	26033320	26033796	-1	protein_coding	8335	HIST1H2AB	0.00531944331445787	0.228134732	1	0.6	9.45685e-05	rs146863150	12
ENSG00000196226	HIST1H2BB	6	26043455	26043885	-1	protein_coding	3018	HIST1H2BB	0.130327871216174	0.288116693	2	0.6	9.45685e-05	rs146863150	12
ENSG00000196532	HIST1H3C	6	26045639	26046097	1	protein_coding	8352	HIST1H3C	0.215540519058334	-0.193878787	2	0.6	9.45685e-05	rs146863150	12
ENSG00000010704	HFE	6	26087509	26098571	1	protein_coding	3077	HFE	8.4969700310781e-07	0.210171656	3	7.767	8.21262e-05	rs146863150	12
ENSG00000180596	HIST1H2BC	6	26115101	26124154	-1	protein_coding	8347	HIST1H2BC	0.00287801155749555	0.335736242	1	1.9	5.94161e-05	rs146863150	12
ENSG00000180573	HIST1H2AC	6	26124373	26139344	1	protein_coding	8334	HIST1H2AC	0.599175549394101	0.73967924	1	1.9	5.94161e-05	rs146863150	12
ENSG00000168298	HIST1H1E	6	26156559	26157343	1	protein_coding	3008	HIST1H1E	NA	-0.396521589	3	6.798	5.23159e-07	rs34661691	12
ENSG00000158373	HIST1H2BD	6	26158349	26171577	1	protein_coding	3017	HIST1H2BD	0.000277979441009119	-0.015297657	5	6.798	4.99313e-07	rs34661691;rs146863150	12
ENSG00000197697	HIST1H2BE	6	26183958	26184454	1	protein_coding	8344	HIST1H2BE	0.000307871828087192	0.445738376	2	2.736	1.3981e-05	rs34661691;rs146863150	12
ENSG00000188987	HIST1H4D	6	26188938	26189304	-1	protein_coding	8360	HIST1H4D	0.00226430020608533	0.870145303	1	1.997	1.41036e-05	rs34661691;rs146863150	12
ENSG00000197409	HIST1H3D	6	26197068	26199521	-1	protein_coding	8351	HIST1H3D	0.011195071454157	NA	2	4.339	1.28769e-05	rs34661691;rs146863150	12
ENSG00000196866	HIST1H2AD	6	26199079	26199471	-1	protein_coding	3013	HIST1H2AD	3.99677268819075e-05	0.28775859	2	4.339	1.28769e-05	rs34661691;rs146863150	12
ENSG00000197846	HIST1H2BF	6	26199748	26200942	1	protein_coding	8343	HIST1H2BF	0.000300020472922898	0.851062902	1	4.339	1.28769e-05	rs34661691;rs146863150	12
ENSG00000198518	HIST1H4E	6	26204858	26206266	1	protein_coding	8367	HIST1H4E	0.000642250549090646	1.835781936	1	4.339	1.28769e-05	rs34661691;rs146863150	12
ENSG00000196966	HIST1H3E	6	26225383	26225844	1	protein_coding	8353	HIST1H3E	0.000813428842528686	-0.20979509	1	5.564	3.27404e-05	rs34661691	12
ENSG00000124575	HIST1H1D	6	26234440	26235216	-1	protein_coding	3007	HIST1H1D	NA	0.136123163	1	5.564	3.27404e-05	rs34661691	12
ENSG00000256018	HIST1H3G	6	26271146	26271612	-1	protein_coding	8355	HIST1H3G	1.71005632806188e-05	0.234420172	1	2.341	2.7307e-05	rs34661691;rs146863150	12
ENSG00000168242	HIST1H2BI	6	26273144	26273622	1	protein_coding	8346	HIST1H2BI	0.138012141980387	-0.249747536	1	2.341	2.7307e-05	rs34661691;rs146863150	12
ENSG00000186470	BTN3A2	6	26365387	26378546	1	protein_coding	11118	BTN3A2	0.000124518814289725	2.207914013	75	9.653	0.000100729	rs146863150	12
ENSG00000124508	BTN2A2	6	26383324	26395102	1	protein_coding	10385	BTN2A2	0.000150288420483044	1.015715449	26	8.783	7.95337e-05	rs146863150	12
ENSG00000026950	BTN3A1	6	26402465	26415444	1	protein_coding	11119	BTN3A1	8.65113669435817e-07	1.627912919	10	6.448	1.03334e-06	rs146863150	12
ENSG00000111801	BTN3A3	6	26440700	26453643	1	protein_coding	10384	BTN3A3	7.19024879190517e-10	1.090110123	14	23.7	2.29103e-06	rs146863150	12
ENSG00000112763	BTN2A1	6	26458150	26476849	1	protein_coding	11120	BTN2A1	1.07467588553941e-18	0.260570683	14	23.7	2.86073e-06	rs146863150	12
ENSG00000124557	BTN1A1	6	26501449	26510650	1	protein_coding	696	BTN1A1	1.14088369109076e-09	-0.32970456	9	9.839	2.18979e-06	rs146863150	12
ENSG00000182952	HMGN4	6	26538633	26546482	1	protein_coding	10473	HMGN4	0.557082341510099	-0.351002587	7	7.526	7.58412e-06	rs146863150	12
ENSG00000146109	ABT1	6	26597180	26600278	1	protein_coding	29777	ABT1	0.0271055673799205	0.104221009	17	13.55	1.40919e-06	rs146863150	12
ENSG00000181315	ZNF322	6	26636518	26659980	-1	protein_coding	79692	ZNF322	NA	-1.140467931	5	19.82	1.05353e-06	rs146863150	12
ENSG00000124635	HIST1H2BJ	6	27093676	27100541	-1	protein_coding	8970	HIST1H2BJ	0.47884211441258	0.308582046	1	4	4.27365e-06	rs401754;rs146863150	12
ENSG00000196787	HIST1H2AG	6	27100832	27103070	1	protein_coding	8969	HIST1H2AG	0.000610464103704842	-0.741637225	1	4	4.27365e-06	rs401754;rs146863150	12
ENSG00000112812	PRSS16	6	27215480	27224403	1	protein_coding	10279	PRSS16	2.23791834002529e-06	0.008848123	1	2.892	1.32289e-05	rs146863150	12
ENSG00000158553	POM121L2	6	27253682	27279949	-1	protein_coding	94026	POM121L2	NA	0.313408259	3	10.98	6.80064e-07	rs401754;rs146863150	12
ENSG00000124613	ZNF391	6	27342394	27371683	1	protein_coding	346157	ZNF391	9.25869403182407e-07	1.231716533	10	8.5	1.34717e-06	rs401754;rs146863150	12
ENSG00000096654	ZNF184	6	27418522	27440897	-1	protein_coding	7738	ZNF184	0.133748635714874	-0.545662357	9	10.07	2.47817e-06	rs401754	12
ENSG00000185130	HIST1H2BL	6	27775257	27775709	-1	protein_coding	8340	HIST1H2BL	0.00286755404850941	-0.03011099	17	16.23	1.72063e-08	rs401754;rs853676	12
ENSG00000196747	HIST1H2AI	6	27775899	27776429	1	protein_coding	8329	HIST1H2AI	0.581587114173739	-0.058326504	17	16.23	1.72063e-08	rs401754;rs853676	12
ENSG00000203813	HIST1H3H	6	27777842	27778314	1	protein_coding	8357	HIST1H3H	0.02493915563981	-0.177817416	16	16.23	1.72063e-08	rs401754;rs853676	12
ENSG00000182611	HIST1H2AJ	6	27782112	27782607	-1	protein_coding	8331	HIST1H2AJ	0.19119768143705	0.615053632	17	16.23	1.72063e-08	rs401754;rs853676	12
ENSG00000196374	HIST1H2BM	6	27782822	27783267	1	protein_coding	8342	HIST1H2BM	0.00275346435077864	-0.27562	18	16.23	1.72063e-08	rs401754;rs853676	12
ENSG00000197238	HIST1H4J	6	27791884	27792257	1	protein_coding	8363	HIST1H4J	0.423753830207411	0.598449973	18	9.571	1.72063e-08	rs401754;rs853676	12
ENSG00000197914	HIST1H4K	6	27798952	27799305	-1	protein_coding	8362	HIST1H4K	0.429118935200097	0.387416315	15	12.22	9.37149e-08	rs401754;rs853676	12
ENSG00000184348	HIST1H2AK	6	27805658	27806117	-1	protein_coding	8330	HIST1H2AK	0.0684285015781424	-0.04124411	18	12.22	4.68557e-08	rs401754;rs853676	12
ENSG00000233822	HIST1H2BN	6	27806323	27823487	1	protein_coding	8341	HIST1H2BN	0.139774615254902	0.145508408	24	15.9	4.11982e-08	rs401754;rs853676	12
ENSG00000198374	HIST1H2AL	6	27833034	27833606	1	protein_coding	8332	HIST1H2AL	0.0624869158210738	-0.360341181	16	16.41	4.11982e-08	rs401754;rs853676	12
ENSG00000184357	HIST1H1B	6	27834570	27835359	-1	protein_coding	3009	HIST1H1B	0.509138756022723	-0.08989506	17	16.41	4.11982e-08	rs401754;rs853676	12
ENSG00000182572	HIST1H3I	6	27839623	27840099	-1	protein_coding	8354	HIST1H3I	0.360879945054601	-0.232438013	17	16.41	4.11982e-08	rs401754;rs853676	12
ENSG00000198558	HIST1H4L	6	27840926	27841289	-1	protein_coding	8368	HIST1H4L	0.191234624133278	0.426890108	18	16.41	4.11982e-08	rs401754;rs853676;rs3132379	12
ENSG00000197153	HIST1H3J	6	27858093	27860884	-1	protein_coding	8356	HIST1H3J	0.695883936820569	-0.189708056	17	21.5	1.88488e-07	rs401754;rs853676;rs3132379	12
ENSG00000233224	HIST1H2AM	6	27860477	27860963	-1	protein_coding	8336	HIST1H2AM	0.000856482029037302	-0.225135146	17	21.5	1.88488e-07	rs401754;rs853676;rs3132379	12
ENSG00000196331	HIST1H2BO	6	27861203	27861669	1	protein_coding	8348	HIST1H2BO	3.07277582735277e-05	-0.223062534	15	21.5	1.8983e-07	rs3132379;rs401754;rs853676	12
ENSG00000168131	OR2B2	6	27878963	27880174	-1	protein_coding	81697	OR2B2	6.86720334316105e-05	-0.212076212	4	23.2	6.71256e-07	rs401754;rs853676	12
ENSG00000124657	OR2B6	6	27925019	27925960	1	protein_coding	26212	OR2B6	0.0407309275321611	-0.098173144	1	0.002	1.39388e-06	rs401754;rs853676	12
ENSG00000197279	ZNF165	6	28048753	28057341	1	protein_coding	7718	ZNF165	0.000563292029886091	0.227981468	8	10.67	3.96352e-07	rs401754;rs853676	12
ENSG00000196812	ZSCAN16	6	28092338	28097860	1	protein_coding	80345	ZSCAN16	2.67303498489914e-06	0.184187397	8	5.996	4.57129e-07	rs401754;rs853676	12
ENSG00000198315	ZKSCAN8	6	28109688	28127250	1	protein_coding	7745	ZKSCAN8	0.000231594506551783	-0.142528224	13	13.42	2.8217e-07	rs401754;rs853676	12
ENSG00000137185	ZSCAN9	6	28192664	28201260	1	protein_coding	7746	ZSCAN9	4.10248860506101e-08	0.461166178	23	7.251	2.22198e-07	rs401754;rs853676	12
ENSG00000187626	ZKSCAN4	6	28212401	28227011	-1	protein_coding	387032	ZKSCAN4	6.74288454800845e-05	0.661631344	28	22.3	2.7721e-07	rs401754;rs853676	12
ENSG00000189134	NKAPL	6	28227098	28228736	1	protein_coding	222698	NKAPL	0.000165621301014734	0.051342603	15	22.3	1.95596e-07	rs853676;rs401754	12
ENSG00000137338	PGBD1	6	28249314	28270326	1	protein_coding	84547	PGBD1	1.46735073363618e-05	-0.0800605	19	14.75	7.10767e-08	rs401754;rs853676	12
ENSG00000235109	ZSCAN31	6	28292470	28324048	-1	protein_coding	64288	ZSCAN31	3.7712697083703e-09	1.107125092	24	13.57	6.43189e-08	rs401754;rs853676	12
ENSG00000189298	ZKSCAN3	6	28317691	28336947	1	protein_coding	80317	ZKSCAN3	0.000122608322341288	-0.65244291	7	13.57	2.97371e-07	rs401754;rs853676	12
ENSG00000158691	ZSCAN12	6	28346732	28367511	-1	protein_coding	9753	ZSCAN12	1.43991732878074e-05	NA	11	9.552	3.46732e-07	rs401754;rs853676	12
ENSG00000187987	ZSCAN23	6	28399707	28411279	-1	protein_coding	222696	ZSCAN23	0.00270295085017911	0.070656525	4	6.22	4.8831e-07	rs401754;rs853676;rs1233578	12
ENSG00000198704	GPX6	6	28471073	28495992	-1	protein_coding	257202	GPX6	3.13757952195529e-05	0.718702709	1	0.984	4.28624e-06	rs1233494;rs401754;rs853676	12
ENSG00000232040	SCAND3	6	28539407	28583989	-1	protein_coding	114821	SCAND3	9.70724396864633e-09	-0.785031462	3	10.48	4.44579e-07	rs1233494;rs401754;rs853676;rs1233578	12
ENSG00000204713	TRIM27	6	28870779	28891766	-1	protein_coding	5987	TRIM27	0.878751858118275	-0.142067713	16	18.69	5.22442e-07	rs1233494;rs3132379;rs1233578;rs853676	12
ENSG00000204709	C6orf100	6	28911654	28912314	1	protein_coding	729583	C6orf100	NA	NA	8	3.641	1.90764e-07	rs1233494;rs3132379;rs1233578	12
ENSG00000197935	ZNF311	6	28962562	28973093	-1	protein_coding	282890	ZNF311	0.000129446471411909	0.377857886	9	11.6	3.62759e-07	rs1233494;rs3132379;rs1233578	12
ENSG00000204704	OR2W1	6	29011990	29013017	-1	protein_coding	26692	OR2W1	0.0865618905271982	0.531528388	7	6.576	6.56187e-07	rs1233494;rs3132379	12
ENSG00000204703	OR2B3	6	29053985	29055090	-1	protein_coding	442184	OR2B3	0.0013369321318042	0.458839963	4	9.377	3.97971e-08	rs1233494;rs3132379	12
ENSG00000204702	OR2J1	6	29068386	29069658	1	protein_coding	442185	OR2J1	0.0174945019459341	NA	2	9.793	5.24905e-07	rs1233494;rs3132379	12
ENSG00000204701	OR2J3	6	29079668	29080603	1	protein_coding	442186	OR2J3	0.0281435008681581	0.112859372	2	1.351	5.24905e-07	rs1233494;rs3132379	12
ENSG00000204700	OR2J2	6	29141311	29142351	1	protein_coding	26707	OR2J2	0.0107267189301636	0.271259236	11	8.021	4.70008e-07	rs1233494;rs1233578;rs3132379	12
ENSG00000204695	OR14J1	6	29274403	29275519	1	protein_coding	442191	OR14J1	8.02406099709927e-08	1.335471591	5	6.748	4.37655e-08	rs1233494;rs3132379	12
ENSG00000243729	OR5V1	6	29323007	29399744	-1	protein_coding	81696	OR5V1	0.00344261897900665	0.32363506	10	11.39	3.26462e-08	rs1233494	12
ENSG00000112462	OR12D3	6	29341200	29343068	-1	protein_coding	81797	OR12D3	1.34136303903671e-05	0.883548764	5	11.39	6.36275e-08	rs1233494	12
ENSG00000168787	OR12D2	6	29364416	29365448	1	protein_coding	26529	OR12D2	0.601033125257784	0.457835329	3	6.779	3.26462e-08	rs1233494	12
ENSG00000204694	OR11A1	6	29393281	29424848	-1	protein_coding	26531	OR11A1	0.0434844025575059	1.230255274	4	3.951	8.74291e-09	rs1233494	12
ENSG00000206474	OR10C1	6	29407083	29408731	1	protein_coding	442194	OR10C1	0.227592079399406	0.363897038	3	1.81	8.74291e-09	rs1233494	12
ENSG00000204688	OR2H1	6	29424958	29432105	1	protein_coding	26716	OR2H1	0.0449040613109769	-0.358288136	4	3.951	5.33544e-09	rs1233494	12
ENSG00000204687	MAS1L	6	29454474	29455738	-1	protein_coding	116511	MAS1L	0.000466205666114264	0.689547747	5	8.385	5.27431e-09	rs1233494	12
ENSG00000213886	UBD	6	29523292	29527702	-1	protein_coding	10537	UBD	0.0798957514124674	0.401530797	5	14.02	3.64307e-08	rs1233494	12
ENSG00000204681	GABBR1	6	29523406	29601753	-1	protein_coding	2550	GABBR1	0.999969901472702	0.238892484	10	14.02	3.64307e-08	rs1233494	12
ENSG00000204657	OR2H2	6	29555683	29556745	1	protein_coding	7932	OR2H2	0.0899459247726437	0.69683603	4	3.904	4.74314e-08	rs1233494	12
ENSG00000188107	EYS	6	64429876	66417118	-1	protein_coding	346007	EYS	8.21411418968935e-09	-0.394014092	120	18.97	4.01731e-06	rs3013169	13
ENSG00000105926	MPP6	7	24612887	24733812	1	protein_coding	51678	MPP6	0.930676770761374	-0.191014452	52	11.9	4.73133e-07	rs2711122	15
ENSG00000105928	DFNA5	7	24737972	24809244	-1	protein_coding	1687	DFNA5	1.21683174137448e-05	0.144414547	14	6.144	2.22256e-05	rs2711122	15
ENSG00000070882	OSBPL3	7	24836158	25021253	-1	protein_coding	26031	OSBPL3	0.00266192967168592	-1.519728876	1	3.73	2.85123e-06	rs17150305	15
ENSG00000158560	DYNC1I1	7	95401866	95739634	1	protein_coding	1780	DYNC1I1	0.0116377037964894	0.222836809	10	4.847	4.58032e-06	rs2237590	16
ENSG00000171714	ANO5	11	22214722	22304903	1	protein_coding	203859	ANO5	9.89423115964736e-16	0.95538648	1	1.8	0.000679473	rs143646822	18
ENSG00000188735	TMEM120B	12	122150658	122220907	1	protein_coding	144404	TMEM120B	0.264378756491141	-0.343296207	32	8.534	4.50403e-06	rs12314801	19
ENSG00000139725	RHOF	12	122215664	122241309	-1	protein_coding	54509	RHOF	0.00520736033592633	-0.238094128	41	13.3	4.50403e-06	rs12314801	19
ENSG00000139718	SETD1B	12	122242086	122270562	1	protein_coding	23067	SETD1B	0.0224563158915498	-1.50972803	12	13.3	9.95871e-05	rs12314801	19
ENSG00000130779	CLIP1	12	122755979	122907179	-1	protein_coding	6249	CLIP1	0.96849601373118	0.285417887	1	0.839	NA	rs12314801	19
ENSG00000273167	RP11-307N16.6	13	24553839	24895169	1	protein_coding	221178	SPATA13	NA	NA	2	1.104	9.49812e-07	rs139484354	20
ENSG00000182957	SPATA13	13	24553944	24881212	1	protein_coding	221178	SPATA13	0.528844213374764	2.016661408	2	1.104	9.49812e-07	rs139484354	20
ENSG00000136158	SPRY2	13	80910111	80915086	-1	protein_coding	10253	SPRY2	0.930516838339553	-0.791672253	6	13.54	4.43505e-08	rs524278	23
ENSG00000237515	SHISA9	16	12995477	13334272	1	protein_coding	729993	SHISA9	NA	NA	3	7.425	2.01068e-06	rs72782613	24
ENSG00000108684	ASIC2	17	31340105	32501983	-1	protein_coding	40	ASIC2	0.989195648597493	NA	13	14.55	4.61996e-06	rs1504570	25
ENSG00000161381	PLXDC1	17	37219556	37310647	-1	protein_coding	57125	PLXDC1	0.000149406289070405	0.392311644	3	20.3	3.19421e-07	rs144106149	26
ENSG00000187323	DCC	18	49866542	51057784	1	protein_coding	1630	DCC	0.99999895681268	-0.239950445	100	15.39	1.91865e-06	rs1835711;rs76579371	27
ENSG00000124299	PEPD	19	33877856	34012700	-1	protein_coding	5184	PEPD	0.014507135033171	0.225176003	101	17.49	2.08069e-06	rs144012467	28
